"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_6M_0","GA_6M_1","GA_6M_2","GA_2Y_0","GA_2Y_1","GA_2Y_2","BPD_6M_0","BPD_6M_1","BPD_6M_2","BPD_2Y_0","BPD_2Y_1","BPD_2Y_2"
"trans-Aconitate",4,0.00316039983579933,0.00214681888123038,0.00635984864976787,0.988332932633202,16355575358.3156,24908423319.7813,25556419472.1033,4468091833.59054,3086235220.27576,5491059309.40435,16355575358.3156,23632615375.5766,26492100054.7485,4468091833.59054,3047570965.88188,5190369476.4825
"Glutamine",1,0.778007431192095,0.0709596644886829,0.142471444799819,0.00856145951940267,307309414441.101,366119725064.107,448765533096.385,352984431120.791,401522519552.059,554000577937.645,307309414441.101,322581591349.488,470813673592.845,352984431120.791,393601379760.107,538788918465.758
"Succinate",1,0.800869853789537,0.0829779805786143,0.100576269474331,0.0155758961575181,190931951291.008,245070146314.823,267170431753.301,181503207301.959,214352514113.788,492316303496.042,190931951291.008,217692565972.842,285911267062.922,181503207301.959,207409024566.991,459304154397.342
"Taurine",1,0.848552587917538,0.0761690412148896,0.0671968643351811,0.00808150653239171,365376007268.294,365888159392.81,498937476379.258,363948934188.985,430569825576.015,697930188331.828,365376007268.294,367533514802.074,475871991639.214,363948934188.985,460582055691.048,640326976738.626
"Gluconate",3,0.0632186520912069,0.0197583962709569,0.905431468332478,0.0115914833053584,91941483024.8776,107818360118.796,152272731217.14,96373788357.4424,115001502243.584,145458553091.953,91941483024.8776,104911306551.308,147387979664.338,96373788357.4424,111667902989.925,143653991086.799
"Glycine",2,0.372128984048413,0.409411313882277,0.166969336728891,0.0514903653404197,259527236929.435,239096537872.155,285437347682.734,351081943433.502,249141134211.416,375999379914.924,259527236929.435,239977912503.316,277152011688.223,351081943433.502,254092713932.806,355211915242.557
"N6-Acetyllysine",2,0.16340831986209,0.779818579110351,0.0441868484560061,0.0125862525715529,50435864085.5812,50443863027.6185,59927153150.1618,61311631131.3662,89792902381.3265,100735820452.408,50435864085.5812,49034543016.0337,59529326200.8362,61311631131.3662,87520509738.3458,100844608259.361
"Formate",1,0.354641279580023,0.255649775340145,0.262549199037708,0.127159746042124,57624841884.5368,53554287760.5388,58749802133.8864,61058897051.7507,50015077177.2261,63900792002.9434,57624841884.5368,56002381384.1718,55903111114.864,61058897051.7507,53048375391.9572,59870188966.3304
"Alanine",1,0.722930906027803,0.216073779973202,0.0523839275470769,0.00861138645191807,132758364367.388,134238029480.111,168296772820.433,165156490752.692,150159024984.813,244570944840.875,132758364367.388,140251958393.427,157826831937.673,165156490752.692,158414695632.496,225880096904.181
"Lactate",1,0.952219202949956,0.0231372681039254,0.0226840571041198,0.00195947184199876,101896803051.514,121307790408.31,138979076888.699,122773496009.202,124988671742.498,185482985373.345,101896803051.514,108602919346.016,146465292208.059,122773496009.202,122267630852.428,179150857778.052
