"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"Gluconate",4,0.22639338487612,0.0898091428329076,0.0385573301835902,0.645240142107382,0.0679248799604158,0.0930498350147527,-0.0660494785108961,0.0679248799604158,0.0900443985219752,-0.0370207938688698
"Glycine",1,0.5444372394057,0.132092419174599,0.0386437998740034,0.284826541545698,0.435921843736944,0.0593699961287282,0.397556167920636,0.435921843736944,0.0824533802232858,0.358002496956768
"N6-Acetyllysine",1,0.371915084374636,0.334366383563476,0.0597437850666794,0.233974746995208,0.281710811980648,0.831922650099072,0.749295034499806,0.281710811980648,0.835822708222302,0.760461481097908
"Formate",4,0.136907113333975,0.0514049520430773,0.0220164713072076,0.78967146331574,0.0835106424314921,-0.0986390225815252,0.121249819650563,0.0835106424314921,-0.0781796068257804,0.0989092497432583
"Alanine",1,0.650367999002956,0.113977659057715,0.0308563491404964,0.204797992798833,0.315030909452182,0.161697744282381,0.539245508609195,0.315030909452182,0.175685260007023,0.517214658418479
"Lactate",1,0.566428387111708,0.103523613261474,0.0326133625874222,0.297434637039396,0.268890360886527,0.0431251396243167,0.416419148863627,0.268890360886527,0.170979630523251,0.290616120644716
"3-Hydroxyisobutyrate",2,0.221717474896312,0.582771023118639,0.0447789056708895,0.15073259631416,0.979943458884126,0.478335628312761,1.03012909170452,0.979943458884126,0.601864258699932,0.884862408675645
"N-Acetylaspartate",1,0.60054935250174,0.146056022918607,0.0360456770710758,0.217348947508577,0.332310923063958,0.41498836076711,0.401256272564514,0.332310923063958,0.503663002624028,0.351006327153759
"Acetate",1,0.431181888889297,0.154895544511481,0.0498157582968469,0.364106808302375,0.306061879784701,0.387864373693538,0.0224219800565998,0.306061879784701,0.403298570894456,0.0760404645728752
"2-Methylglutarate",2,0.140918651939613,0.733939247143214,0.0289800686192247,0.0961620322979479,0.958685552790771,0.683734661215788,0.949762303730174,0.958685552790771,0.774858431629941,0.86280597120201
"Trimethylamine",2,0.212209769666401,0.602519326699634,0.0423289890623326,0.142941914571632,0.773847185399556,0.788853667259388,0.919009542822239,0.773847185399556,1.0186828243037,0.770259712976368
"Citrate",4,0.284018260663452,0.146014384172779,0.0834520294657332,0.486515325698035,-0.389179261745722,-0.282543099157464,0.0851606125898032,-0.389179261745722,-0.14303574429575,-0.0649942401528741
"Lysine",2,0.363508215164384,0.378210063529906,0.0505858231839668,0.207695898121743,0.645616917206351,0.661553784558738,0.624841650089098,0.645616917206351,0.674642878153043,0.625000807454326
"Methylguanidine",2,0.262310474291563,0.526476371657485,0.0454630772503207,0.165750076800631,0.733532200647698,0.717794957181189,0.81460380225895,0.733532200647698,0.815055860980218,0.747171809216732
"2-Aminobutyrate",1,0.575075748931968,0.101847710472919,0.0322149686885198,0.290861571906592,0.198593368217641,0.0867701203118689,0.438439727613484,0.198593368217641,0.219253546704553,0.301311244971429
