"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","GA_>=37wk","GA_28-32wk","GA_<28wk","BPD_HC","BPD_No+Mild","BPD_M+S"
"Valine",1,0.70785518474139,0.0935386541354939,0.0725060256103071,0.126100135512809,0.761685342863378,0.436929010469854,0.395641817259246,0.761685342863378,0.497293931154957,0.368822792495473
"Sucrose",1,0.412103124169511,0.14970636152865,0.129117445079178,0.30907306922266,-1.52212824341764,-2.72366937760625,-2.41543773963364,-1.52212824341764,-2.70175068608706,-2.43782155328874
"trans-Aconitate",4,0.207476150294655,0.12689186765562,0.120723521694013,0.544908460355712,-1.87205176836578,-3.01271377565321,-2.21852932556444,-1.87205176836578,-2.95504757738675,-2.35165306648474
"Glutamine",2,0.167499688421312,0.380004474102073,0.247458910755654,0.20503692672096,0.199912588136634,0.133165401777869,0.303925605582796,0.199912588136634,0.287071166947745,0.194563958078555
"Succinate",3,0.143210692470844,0.206287493378848,0.429228941710505,0.221272872439803,-0.0730635071286043,-0.193209411829093,0.881825165591035,-0.0730635071286043,-0.069813472913068,0.683882358598995
"Taurine",3,0.0932000695874002,0.18183857495007,0.614046870412984,0.110914485049545,-0.00564586171409541,0.234844489693555,0.484223697929089,-0.00564586171409541,0.325582391691372,0.428235247044647
"Gluconate",1,0.351700335638823,0.261569937871655,0.185568202986515,0.201161523503007,0.0679248799604158,0.0930498350147527,-0.0660494785108961,0.0679248799604158,0.0900443985219752,-0.0370207938688698
"Glycine",4,0.149991063615859,0.110626909178782,0.112726348635158,0.626655678570202,0.435921843736944,0.0593699961287282,0.397556167920636,0.435921843736944,0.0824533802232858,0.358002496956768
"N6-Acetyllysine",3,0.158160158202467,0.309561593841462,0.369849619910914,0.162428628045157,0.281710811980648,0.831922650099072,0.749295034499806,0.281710811980648,0.835822708222302,0.760461481097908
"Formate",4,0.163843532553367,0.146451380944545,0.164133779663796,0.525571306838292,0.0835106424314921,-0.0986390225815252,0.121249819650563,0.0835106424314921,-0.0781796068257804,0.0989092497432583
"Alanine",4,0.173246150608931,0.203735542899899,0.301798507460607,0.321219799030564,0.315030909452182,0.161697744282381,0.539245508609195,0.315030909452182,0.175685260007023,0.517214658418479
"Lactate",4,0.172126457076177,0.194688655467776,0.218650269609809,0.414534617846239,0.268890360886527,0.0431251396243167,0.416419148863627,0.268890360886527,0.170979630523251,0.290616120644716
"3-Hydroxyisobutyrate",4,0.112582501352734,0.0934194568715665,0.0952802488694161,0.698717792906284,0.979943458884126,0.478335628312761,1.03012909170452,0.979943458884126,0.601864258699932,0.884862408675645
"N-Acetylaspartate",2,0.169401714961648,0.443756554580321,0.233724416835965,0.153117313622066,0.332310923063958,0.41498836076711,0.401256272564514,0.332310923063958,0.503663002624028,0.351006327153759
"Acetate",1,0.333724973028487,0.275512248819755,0.191001427035377,0.19976135111638,0.306061879784701,0.387864373693538,0.0224219800565998,0.306061879784701,0.403298570894456,0.0760404645728752
"2-Methylglutarate",4,0.117429579359421,0.088140565041034,0.0831602094281334,0.711269646171412,0.958685552790771,0.683734661215788,0.949762303730174,0.958685552790771,0.774858431629941,0.86280597120201
"Trimethylamine",2,0.137397742309396,0.53235791525291,0.195257290630889,0.134987051806805,0.773847185399556,0.788853667259388,0.919009542822239,0.773847185399556,1.0186828243037,0.770259712976368
"Citrate",3,0.0767537745520388,0.150920372791109,0.674320166916762,0.09800568574009,-0.389179261745722,-0.282543099157464,0.0851606125898032,-0.389179261745722,-0.14303574429575,-0.0649942401528741
"Lysine",2,0.280244512737047,0.323876078885632,0.204560977349392,0.191318431027929,0.645616917206351,0.661553784558738,0.624841650089098,0.645616917206351,0.674642878153043,0.625000807454326
"Methylguanidine",2,0.143159251913643,0.43526778383451,0.25749537593554,0.164077588316307,0.733532200647698,0.717794957181189,0.81460380225895,0.733532200647698,0.815055860980218,0.747171809216732
"2-Aminobutyrate",3,0.157220006546502,0.238937754832376,0.343934424401043,0.259907814220078,0.198593368217641,0.0867701203118689,0.438439727613484,0.198593368217641,0.219253546704553,0.301311244971429
